iter	Passed	Remaining
0	193	193745
1	234	116804
2	272	90629
3	315	78643
4	365	72786
5	393	65200
6	449	63801
7	496	61548
8	549	60505
9	589	58356
10	636	57183
11	680	55987
12	725	55097
13	771	54314
14	805	52865
15	852	52408
16	886	51264
17	941	51339
18	989	51114
19	1036	50779
20	1069	49850
21	1141	50727
22	1186	50391
23	1224	49812
24	1256	49011
25	1300	48729
26	1356	48895
27	1407	48852
28	1451	48614
29	1484	48011
30	1516	47415
31	1549	46864
32	1572	46090
33	1600	45481
34	1643	45315
35	1688	45218
36	1720	44781
37	1763	44646
38	1798	44310
39	1826	43837
40	1850	43289
41	1883	42962
42	1915	42620
43	1947	42312
44	1974	41902
45	2001	41517
46	2026	41097
47	2048	40633
48	2082	40417
49	2130	40478
50	2162	40248
51	2206	40223
52	2227	39799
53	2254	39501
54	2278	39150
55	2300	38772
56	2335	38642
57	2362	38378
58	2385	38050
59	2424	37991
60	2448	37692
61	2474	37436
62	2501	37210
63	2552	37334
64	2608	37515
65	2639	37350
66	2673	37223
67	2715	37215
68	2752	37134
69	2778	36911
70	2802	36675
71	2830	36485
72	2869	36444
73	2892	36199
74	2924	36073
75	2941	35767
76	2963	35519
77	2991	35366
78	3017	35181
79	3037	34936
80	3060	34722
81	3090	34593
82	3108	34348
83	3133	34173
84	3162	34038
85	3182	33824
86	3200	33591
87	3222	33396
88	3252	33290
89	3272	33092
90	3291	32883
91	3316	32735
92	3333	32514
93	3350	32294
94	3368	32086
95	3387	31899
96	3407	31720
97	3426	31539
98	3451	31412
99	3466	31196
100	3488	31049
101	3505	30866
102	3524	30692
103	3553	30612
104	3572	30448
105	3589	30271
106	3606	30097
107	3626	29948
108	3646	29806
109	3658	29602
110	3676	29447
111	3690	29263
112	3709	29118
113	3726	28959
114	3744	28814
115	3762	28670
116	3785	28571
117	3816	28530
118	3838	28414
119	3851	28247
120	3873	28139
121	3903	28090
122	3927	28000
123	3955	27944
124	3993	27957
125	4016	27862
126	4047	27822
127	4081	27807
128	4123	27844
129	4175	27942
130	4211	27937
131	4242	27897
132	4266	27809
133	4294	27755
134	4324	27710
135	4346	27611
136	4374	27556
137	4397	27468
138	4420	27379
139	4445	27305
140	4465	27207
141	4495	27164
142	4513	27047
143	4537	26970
144	4566	26928
145	4588	26841
146	4614	26777
147	4643	26730
148	4707	26884
149	4751	26924
150	4779	26872
151	4813	26851
152	4855	26882
153	4888	26855
154	4918	26814
155	4951	26788
156	4989	26793
157	5017	26739
158	5044	26681
159	5103	26793
160	5134	26757
161	5171	26750
162	5217	26794
163	5267	26850
164	5304	26843
165	5347	26865
166	5392	26898
167	5432	26906
168	5454	26818
169	5483	26771
170	5506	26694
171	5544	26691
172	5580	26675
173	5606	26616
174	5642	26600
175	5671	26554
176	5703	26518
177	5737	26496
178	5764	26438
179	5784	26353
180	5811	26297
181	5833	26218
182	5861	26169
183	5891	26127
184	5913	26052
185	5934	25970
186	5951	25873
187	5969	25783
188	5987	25693
189	6006	25605
190	6029	25539
191	6058	25497
192	6076	25408
193	6095	25325
194	6112	25232
195	6134	25164
196	6152	25078
197	6169	24988
198	6194	24933
199	6214	24859
200	6233	24778
201	6252	24702
202	6266	24602
203	6281	24510
204	6295	24412
205	6312	24329
206	6325	24232
207	6342	24151
208	6358	24064
209	6376	23986
210	6391	23901
211	6408	23818
212	6423	23733
213	6438	23648
214	6459	23583
215	6473	23496
216	6486	23404
217	6503	23329
218	6521	23256
219	6547	23213
220	6565	23142
221	6588	23087
222	6604	23011
223	6624	22950
224	6648	22901
225	6672	22850
226	6694	22795
227	6724	22767
228	6744	22706
229	6764	22645
230	6791	22609
231	6817	22567
232	6838	22511
233	6860	22457
234	6889	22426
235	6908	22364
236	6936	22330
237	6958	22278
238	6984	22239
239	7010	22198
240	7036	22160
241	7059	22110
242	7087	22079
243	7106	22020
244	7134	21987
245	7170	21978
246	7201	21954
247	7231	21928
248	7253	21878
249	7272	21817
250	7288	21748
251	7308	21692
252	7333	21651
253	7350	21589
254	7387	21584
255	7407	21529
256	7421	21455
257	7448	21421
258	7470	21374
259	7485	21305
260	7512	21271
261	7539	21236
262	7560	21185
263	7585	21147
264	7611	21111
265	7669	21162
266	7707	21159
267	7754	21180
268	7802	21203
269	7840	21197
270	7869	21169
271	7894	21130
272	7930	21118
273	7958	21087
274	7983	21046
275	8015	21025
276	8049	21011
277	8083	20992
278	8116	20973
279	8143	20941
280	8169	20903
